symbol,message,datetime,user,message_id
AAPL,$AAPL has an excellent technical rating and also presents a decent setup pattern. We see reduced volatility whi ... https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=SETUP&amp;utm_campaign=social_tracking#/AAPL?key=bb853040-a4ac-41c6-b549-d218d2f21b32,2018-02-19T00:41:05Z,47688,113448493
AAPL,$AAPL,2018-02-19T00:26:34Z,619769,113447960
AAPL,$AAPL remember,2018-02-19T00:19:41Z,1368713,113447625
AAPL,"Here’s what 237 Estimize analysts believe $AAPL will report for Q2 2018 EPS [Reporting 05/01 AMC]
http://www.estimize.com/intro/aapl?chart=historical&amp;metric_name=eps&amp;utm_content=AAPL&amp;utm_medium=eps_update&amp;utm_source=stocktwits",2018-02-19T00:01:41Z,727510,113446930
AAPL,How’s weekend video $SPY $QQQ $AAPL $NFLX $AMZN $IBB $XBI,2018-02-18T23:54:18Z,5,113446637
AAPL,"WEEKEND VIDEO: Follow Through Days, FAANG, Biotech and More https://www.joefahmy.com/2018/02/18/weekend-video-follow-days-faang-biotech $SPY $QQQ $AAPL $NFLX $AMZN $IBB $XBI",2018-02-18T23:49:34Z,87,113446468
AAPL,@Cryptomack Thank you for giving me a smile $AAPL; I an ready to play any direction.,2018-02-18T23:44:29Z,823197,113446254
AAPL,$AAPL &quot;Apple&#39;s iPhone X is the Instant Scapegoat for Samsung&#39;s Failure to Win OLED Orders from Chinese Vendors&quot; but of course,2018-02-18T23:21:16Z,165596,113445399
AAPL,$AAPL Who is going to pay for all the ruined furniture from this Home Pod thing? Ruined antiques and all.,2018-02-18T23:17:02Z,176623,113445242
AAPL,$AAPL https://youtu.be/o_aiLRZYG5I powerbeats stopped charging properly and have a high-pitched squeek when plugged into wall with cable :(,2018-02-18T23:10:55Z,1293714,113444997
AAPL,"$AAPL Apple, Wells Fargo and Hovnanian. . . Some might say HOV  gets a pass-they were only taking advantage of poorly drafted CDS/loan docs.",2018-02-18T23:09:12Z,1159533,113444920
